Frame,Radius
0,293354.39
1,293354.39
2,293354.39
3,293354.39
4,293354.39
5,293354.39
6,293354.39
7,293354.39
8,293354.39
9,293354.39
10,293354.39
11,293354.39
12,293354.39
13,293354.39
14,293354.39
15,293354.39
16,293354.39
17,293354.39
18,293354.39
19,293354.39
20,293354.39
21,293354.39
22,293354.39
23,293354.39
24,293354.39
25,293354.39
26,293354.39
27,293354.39
28,293354.39
29,293354.39
30,293354.39
31,293354.39
32,293354.39
33,293354.39
34,293354.39
35,293354.39
36,293354.39
37,293354.39
38,293354.39
39,293354.39
40,293354.39
41,293354.39
42,293354.39
43,293354.39
44,293354.39
45,293354.39
46,293354.39
47,293354.39
48,293354.39
49,293354.39
50,293354.39
51,293354.39
52,293354.39
53,293354.39
54,293354.39
55,293354.39
56,293354.39
57,293354.39
58,293354.39
59,293354.39
60,293354.39
61,293354.39
62,293354.39
63,293354.39
64,293354.39
65,293354.39
66,293354.39
67,293354.39
68,293354.39
69,293354.39
70,293354.39
71,293354.39
72,293354.39
73,293354.39
74,293354.39
75,293354.39
76,293354.39
77,293354.39
78,293354.39
79,293354.39
80,293354.39
81,293354.39
82,293354.39
83,293354.39
84,293354.39
85,293354.39
86,293354.39
87,293354.39
88,293354.39
89,293354.39
90,293354.39
91,293354.39
92,293354.39
93,293354.39
94,293354.39
95,293354.39
96,293354.39
97,293354.39
98,293354.39
99,293354.39
100,293354.39
101,293354.39
102,293354.39
103,293354.39
104,293354.39
105,293354.39
106,293354.39
107,293354.39
108,293354.39
109,293354.39
110,293354.39
111,293354.39
112,293354.39
113,293354.39
114,293354.39
115,293354.39
116,293354.39
117,293354.39
118,293354.39
119,293354.39
120,293354.39
121,293354.39
122,293354.39
123,293354.39
124,293354.39
125,293354.39
126,293354.39
127,293354.39
128,293354.39
129,293354.39
130,293354.39
131,293354.39
132,293354.39
133,293354.39
134,293354.39
135,293354.39
136,293354.39
137,293354.39
138,293354.39
139,293354.39
140,293354.39
141,293354.39
142,293354.39
143,293354.39
144,293354.39
145,293354.39
146,293354.39
147,293354.39
148,293354.39
149,293354.39
150,293354.39
151,293354.39
152,293354.39
153,293354.39
154,293354.39
155,293354.39
156,293354.39
157,293354.39
158,293354.39
159,293354.39
160,293354.39
161,293354.39
162,293354.39
163,293354.39
164,293354.39
165,293354.39
166,293354.39
167,293354.39
168,293354.39
169,293354.39
170,293354.39
171,293354.39
172,293354.39
173,293354.39
174,293354.39
175,293354.39
176,293354.39
177,293354.39
178,293354.39
179,293354.39
180,293354.39
181,293354.39
182,293354.39
183,293354.39
184,293354.39
185,293354.39
186,293354.39
187,293354.39
188,293354.39
189,293354.39
190,293354.39
191,293354.39
192,293354.39
193,293354.39
194,293354.39
195,293354.39
196,293354.39
197,293354.39
198,293354.39
199,293354.39
200,293354.39
201,293354.39
202,293354.39
203,293354.39
204,293354.39
205,293354.39
206,293354.39
207,293354.39
208,293354.39
209,293354.39
210,293354.39
211,293354.39
212,293354.39
213,293354.39
214,293354.39
215,293354.39
216,293354.39
217,293354.39
218,293354.39
219,293354.39
220,293354.39
221,293354.39
222,293354.39
223,293354.39
224,293354.39
225,293354.39
226,293354.39
227,293354.39
228,293354.39
229,293354.39
230,293354.39
231,293354.39
232,293354.39
233,293354.39
234,293354.39
235,293354.39
236,293354.39
237,293354.39
238,293354.39
239,293354.39
240,293354.39
241,293354.39
242,293354.39
243,293354.39
244,293354.39
245,293354.39
246,293354.39
247,293354.39
248,293354.39
249,293354.39
250,293354.39
251,293354.39
252,293354.39
253,293354.39
254,293354.39
255,293354.39
256,293354.39
257,293354.39
258,293354.39
259,293354.39
260,293354.39
261,293354.39
262,293354.39
263,293354.39
264,293354.39
265,293354.39
266,293354.39
267,293354.39
268,293354.39
269,293354.39
270,293354.39
271,293354.39
272,293354.39
273,293354.39
274,293354.39
275,293354.39
276,293354.39
277,293354.39
278,293354.39
279,293354.39
280,293354.39
281,293354.39
282,293354.39
283,293354.39
284,293354.39
285,293354.39
286,293354.39
287,293354.39
288,293354.39
289,293354.39
290,293354.39
291,293354.39
292,293354.39
293,293354.39
294,293354.39
295,293354.39
296,293354.39
297,293354.39
298,293354.39
299,293354.39
300,293354.39
301,293354.39
302,293354.39
303,293354.39
304,293354.39
305,293354.39
306,293354.39
307,293354.39
308,293354.39
309,293354.39
310,293354.39
311,293354.39
312,293354.39
313,293354.39
314,293354.39
315,293354.39
316,293354.39
317,293354.39
318,293354.39
319,293354.39
320,293354.39
321,293354.39
322,293354.39
323,293354.39
324,293354.39
325,293354.39
326,293354.39
327,293354.39
328,293354.39
329,293354.39
330,293354.39
331,293354.39
332,293354.39
333,293354.39
334,293354.39
335,293354.39
336,293354.39
337,293354.39
338,293354.39
339,293354.39
340,293354.39
